student_id,"How many minutes is your typical commute (one way)? *this includes walking, biking, driving, or public transit time",How many hours per week do you typically work?,How many credits are you enrolled in this semester?,How many lab courses are you enrolled in this semester?
182,0-15 mins,0,15,1
183,0-15 mins,1-10,16,0
184,16-30 mins,0,15,2
185,0-15 mins,0,14,2
186,0-15 mins,0,16,2
187,0-15 mins,0,17,0
188,0-15 mins,0,17,3 or more
189,0-15 mins,0,12,2
190,0-15 mins,1-10,13,1
191,0-15 mins,0,1,2
192,0-15 mins,0,16,0
193,0-15 mins,0,17,0
194,0-15 mins,0,13,2
195,0-15 mins,0,18,2
196,16-30 mins,1-10,14,2
197,0-15 mins,0,14,2
198,31-45 mins,11-20,16,2
199,0-15 mins,0,16,0
200,0-15 mins,0,13,1
201,0-15 mins,11-20,13,0
202,16-30 mins,0,18,0
203,0-15 mins,0,15,0
204,0-15 mins,1-10,15,2
205,0-15 mins,0,15,0
206,0-15 mins,11-20,14,0
207,0-15 mins,0,15,0
208,16-30 mins,0,18,0
209,0-15 mins,1-10,15,0
210,0-15 mins,1-10,15,2
211,0-15 mins,1-10,15,0
212,31-45 mins,0,14,2
213,0-15 mins,0,14,2
214,16-30 mins,1-10,14,1
215,0-15 mins,0,18,2
216,0-15 mins,1-10,14,1
217,0-15 mins,0,15,0
218,0-15 mins,0,5,1
219,0-15 mins,1-10,14,1
220,0-15 mins,0,14,2
221,,0,,
222,16-30 mins,0,15,2
223,16-30 mins,0,18,0
224,0-15 mins,0,12,2
225,0-15 mins,0,16,0
226,0-15 mins,11-20,15,0
227,16-30 mins,0,16,0
228,0-15 mins,0,14,3 or more
229,0-15 mins,0,15,0
230,46-60 mins,11-20,16,0
231,0-15 mins,11-20,17,2
232,0-15 mins,0,6,0
233,16-30 mins,0,11,0
234,31-45 mins,1-10,14,2
235,31-45 mins,21-30 ,15,2
236,0-15 mins,0,13,0
237,0-15 mins,0,18,2
238,0-15 mins,0,15,0
239,0-15 mins,0,17,2
240,0-15 mins,0,17,1
241,0-15 mins,0,16,2
242,0-15 mins,1-10,17,1
243,0-15 mins,0,17,2
244,46-60 mins,1-10,18,2
245,> Hour,0,14,2
246,0-15 mins,0,15,2
247,0-15 mins,0,11,2
248,0-15 mins,0,14,2
249,0-15 mins,1-10,18,2
250,0-15 mins,1-10,15,2
251,0-15 mins,0,14,2
252,16-30 mins,0,14,1
253,0-15 mins,0,16,2
254,0-15 mins,0,18,0
255,0-15 mins,0,15,1
256,0-15 mins,0,13,0
257,0-15 mins,0,14,2
258,31-45 mins,0,14,2
259,0-15 mins,0,16,1
260,16-30 mins,0,14,1
261,31-45 mins,0,14,0
262,0-15 mins,0,14,2
263,0-15 mins,0,14,0
264,46-60 mins,0,16,0
265,31-45 mins,0,18,2
266,16-30 mins,0,18,2
267,0-15 mins,0,17,0
268,0-15 mins,0,12,0
269,0-15 mins,0,17,2
270,0-15 mins,0,16,0
271,0-15 mins,0,15,2
272,16-30 mins,0,15,2
273,0-15 mins,11-20,14,2
274,0-15 mins,0,12,2
275,0-15 mins,1-10,18,1
276,0-15 mins,0,16,0
277,0-15 mins,0,14,2
278,0-15 mins,0,12,2
279,0-15 mins,0,14,1
280,0-15 mins,0,15,0
281,0-15 mins,1-10,16,0
282,0-15 mins,1-10,15,2
283,0-15 mins,0,16,0
284,46-60 mins,0,17,0
285,46-60 mins,11-20,17,0
286,0-15 mins,0,16,0
287,0-15 mins,0,12,1
288,0-15 mins,0,12,1
289,0-15 mins,0,15,2
290,0-15 mins,11-20,16,0
291,0-15 mins,0,12,2
292,16-30 mins,0,15,1
293,16-30 mins,0,14,2
294,0-15 mins,0,12,2
295,16-30 mins,1-10,14,0
296,16-30 mins,11-20,15,0
297,0-15 mins,0,13,0
298,0-15 mins,0,15,2
299,0-15 mins,1-10,16,0
300,0-15 mins,1-10,16,0
301,0-15 mins,0,14,2
302,0-15 mins,0,14,2
303,0-15 mins,0,16,0
304,0-15 mins,0,15,2
305,16-30 mins,0,16,0
306,0-15 mins,0,18,1
307,0-15 mins,0,17,0
308,0-15 mins,0,14,2
309,0-15 mins,0,12,2
310,0-15 mins,0,14,1
311,16-30 mins,1-10,15,1
312,0-15 mins,1-10,17,1
313,16-30 mins,11-20,15,1
314,16-30 mins,1-10,15,1
315,0-15 mins,0,16,0
316,0-15 mins,0,15,2
317,0-15 mins,0,17,1
318,0-15 mins,1-10,17,1
319,0-15 mins,11-20,18,0
320,0-15 mins,1-10,16,1
321,0-15 mins,0,13,0
322,31-45 mins,11-20,12,0
323,16-30 mins,0,14,1
324,16-30 mins,0,12,0
325,16-30 mins,11-20,16,1
326,0-15 mins,21-30 ,16,0
327,0-15 mins,0,13,1
328,0-15 mins,0,15,0
329,0-15 mins,1-10,15,0
330,16-30 mins,11-20,16,0
331,0-15 mins,0,16,0
332,46-60 mins,0,17,0
333,0-15 mins,0,14,1
334,0-15 mins,0,14,2
335,0-15 mins,0,14,2
336,0-15 mins,0,12,1
337,0-15 mins,0,15,0
338,0-15 mins,0,10,0
339,0-15 mins,0,10,1
340,0-15 mins,0,13,1
341,0-15 mins,0,14,2
342,0-15 mins,0,17,0
343,0-15 mins,0,15,1
344,0-15 mins,0,20,2
345,16-30 mins,1-10,16,0
346,0-15 mins,0,13,2
347,0-15 mins,0,12,1
348,0-15 mins,1-10,12,0
349,0-15 mins,0,17,1
350,0-15 mins,0,18,0
351,0-15 mins,0,16,0
352,0-15 mins,0,18,0
353,0-15 mins,0,16,0
354,0-15 mins,0,17,1
355,0-15 mins,0,14,0
356,0-15 mins,11-20,13,0
357,16-30 mins,0,14,2
358,0-15 mins,0,15,3 or more
359,> Hour,0,14,2
360,0-15 mins,1-10,16,0
361,31-45 mins,11-20,13,0
362,0-15 mins,0,15,2
363,0-15 mins,0,7,1
364,16-30 mins,0,16,0
365,0-15 mins,0,14,2
366,0-15 mins,0,12,0
367,16-30 mins,0,16,0
368,0-15 mins,0,13,0
369,16-30 mins,0,16,2
370,0-15 mins,0,14,0
371,0-15 mins,11-20,14,2
372,0-15 mins,0,18,2
373,0-15 mins,0,14,1
374,16-30 mins,0,14,2
375,16-30 mins,0,17,2
376,0-15 mins,11-20,20,1
377,0-15 mins,0,15,2
378,16-30 mins,0,16,2
379,46-60 mins,0,14,2
380,0-15 mins,0,16,1
381,0-15 mins,1-10,16,1
382,0-15 mins,11-20,16,1
383,0-15 mins,1-10,17,2
384,46-60 mins,1-10,15,2
385,16-30 mins,0,14,1
386,16-30 mins,11-20,12,1
387,0-15 mins,11-20,14,2
388,31-45 mins,1-10,14,2
389,0-15 mins,0,12,2
390,0-15 mins,11-20,,
391,0-15 mins,0,16,1
392,16-30 mins,0,17,0
393,16-30 mins,0,15,0
394,0-15 mins,0,16,0
395,0-15 mins,11-20,18,1
396,0-15 mins,11-20,15,1
397,0-15 mins,0,13,0
398,16-30 mins,1-10,18,1
399,0-15 mins,11-20,15,1
400,0-15 mins,0,15,2
401,16-30 mins,0,16,1
402,16-30 mins,11-20,16,1
403,0-15 mins,0,18,2
404,0-15 mins,1-10,14,2
405,,0,,
