student_id,group
351,On-Campus Residents
352,On-Campus Residents
353,On-Campus Residents
354,On-Campus Residents
355,On-Campus Residents
356,On-Campus Hustlers
357,Commuting Academics
358,On-Campus Residents
359,Commuting Academics
360,On-Campus Hustlers
361,Commuting Overdrivers
362,On-Campus Residents
363,On-Campus Residents
364,Commuting Academics
365,On-Campus Residents
366,On-Campus Residents
367,Commuting Academics
368,On-Campus Residents
369,Commuting Academics
370,On-Campus Residents
371,On-Campus Hustlers
372,On-Campus Residents
373,On-Campus Residents
374,Commuting Academics
375,Commuting Academics
376,On-Campus Hustlers
377,On-Campus Residents
378,Commuting Academics
379,Commuting Academics
380,On-Campus Residents
381,On-Campus Hustlers
382,On-Campus Hustlers
383,On-Campus Hustlers
384,Commuting Overdrivers
385,Commuting Academics
386,Commuting Overdrivers
387,On-Campus Hustlers
388,Commuting Overdrivers
389,On-Campus Residents
391,On-Campus Residents
392,Commuting Academics
393,Commuting Academics
394,On-Campus Residents
395,On-Campus Hustlers
396,On-Campus Hustlers
397,On-Campus Residents
398,Commuting Overdrivers
399,On-Campus Hustlers
400,On-Campus Residents
401,Commuting Academics
402,Commuting Overdrivers
403,On-Campus Residents
404,On-Campus Hustlers
